"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS",1,1,0,9,485,19538,1
"REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX",1,1,0,53,485,19494,1
"REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER",1,1,0,78,485,19469,1
"REACTOME_DUAL_INCISION_IN_TC_NER",1,1,0,65,485,19482,1
"REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",1,1,0,43,485,19504,1
"REACTOME_SYNTHESIS_OF_WYBUTOSINE_AT_G37_OF_TRNA_PHE",1,1,0,6,485,19541,1
"REACTOME_FANCONI_ANEMIA_PATHWAY",1,1,0,39,485,19508,1
"REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS",1,1,0,58,485,19489,1
"REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION",1,1,0,5,485,19542,1
"REACTOME_TRNA_MODIFICATION_IN_THE_MITOCHONDRION",1,1,0,9,485,19538,1
"REACTOME_GDP_FUCOSE_BIOSYNTHESIS",1,1,0,5,485,19542,1
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",1,1,0,60,485,19487,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",1,1,0,49,485,19498,1
"REACTOME_RRNA_MODIFICATION_IN_THE_MITOCHONDRION",1,1,0,6,485,19541,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES",1,1,0,62,485,19485,1
"REACTOME_COMPLEX_I_BIOGENESIS",1,1,0,57,485,19490,1
"REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS",1,1,0,6,485,19541,1
"REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS",1,1,0,7,485,19540,1
"REACTOME_FGFR2_ALTERNATIVE_SPLICING",1,1,0,27,485,19520,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",1,1,0,18,485,19529,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN",1,1,0,21,485,19526,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST",1,1,0,14,485,19533,1
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION",1,1,0,30,485,19517,1
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION",1,1,0,19,485,19528,1
"REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION",1,1,0,37,485,19510,1
"REACTOME_MET_RECEPTOR_ACTIVATION",1,1,0,6,485,19541,1
"REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY",1,1,0,21,485,19526,1
"REACTOME_PTEN_REGULATION",1,1,0,139,485,19408,1
"REACTOME_INTRA_GOLGI_TRAFFIC",1,1,0,44,485,19503,1
"REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK",1,1,0,49,485,19498,1
"REACTOME_PI5P_REGULATES_TP53_ACETYLATION",1,1,0,9,485,19538,1
"REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING",1,1,0,38,485,19509,1
"REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM",1,1,0,7,485,19540,1
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",1,1,0,6,485,19541,1
"REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX",1,1,0,11,485,19536,1
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",1,1,0,68,485,19479,1
"REACTOME_G2_PHASE",1,1,0,5,485,19542,1
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",1,1,0,71,485,19476,1
"REACTOME_DNA_REPLICATION_INITIATION",1,1,0,8,485,19539,1
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",1,1,0,33,485,19514,1
"REACTOME_DNA_REPLICATION_PRE_INITIATION",1,1,0,85,485,19462,1
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",1,1,0,91,485,19456,1
"REACTOME_POLYMERASE_SWITCHING",1,1,0,14,485,19533,1
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",1,1,0,15,485,19532,1
"REACTOME_LAGGING_STRAND_SYNTHESIS",1,1,0,20,485,19527,1
"REACTOME_DNA_STRAND_ELONGATION",1,1,0,32,485,19515,1
"REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",1,1,0,29,485,19518,1
"REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",1,1,0,25,485,19522,1
"REACTOME_DNA_REPLICATION",1,1,0,128,485,19419,1
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",1,1,0,95,485,19452,1
"REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT",1,1,0,5,485,19542,1
"REACTOME_G2_M_CHECKPOINTS",1,1,0,168,485,19379,1
"REACTOME_STABILIZATION_OF_P53",1,1,0,57,485,19490,1
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",1,1,0,68,485,19479,1
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",1,1,0,15,485,19532,1
"REACTOME_PYRUVATE_METABOLISM",1,1,0,30,485,19517,1
"REACTOME_FRUCTOSE_CATABOLISM",1,1,0,5,485,19542,1
"REACTOME_GALACTOSE_CATABOLISM",1,1,0,5,485,19542,1
"REACTOME_UREA_CYCLE",1,1,0,10,485,19537,1
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",1,1,0,21,485,19526,1
"REACTOME_PROPIONYL_COA_CATABOLISM",1,1,0,5,485,19542,1
"REACTOME_TRYPTOPHAN_CATABOLISM",1,1,0,14,485,19533,1
"REACTOME_PENTOSE_PHOSPHATE_PATHWAY",1,1,0,15,485,19532,1
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",1,1,0,22,485,19525,1
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",1,1,0,54,485,19493,1
"REACTOME_MRNA_CAPPING",1,1,0,29,485,19518,1
"REACTOME_MRNA_SPLICING_MINOR_PATHWAY",1,1,0,52,485,19495,1
"REACTOME_MRNA_SPLICING",1,1,0,188,485,19359,1
"REACTOME_MRNA_EDITING_C_TO_U_CONVERSION",1,1,0,8,485,19539,1
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",1,1,0,84,485,19463,1
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",1,1,0,242,485,19305,1
"REACTOME_TRNA_PROCESSING",1,1,0,108,485,19439,1
"REACTOME_RRNA_PROCESSING",1,1,0,203,485,19344,1
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",1,1,0,120,485,19427,1
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",1,1,0,60,485,19487,1
"REACTOME_RECYCLING_OF_EIF2_GDP",1,1,0,8,485,19539,1
"REACTOME_TRANSLATION",1,1,0,293,485,19254,1
"REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS",1,1,0,9,485,19538,1
"REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION",1,1,0,44,485,19503,1
"REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION",1,1,0,18,485,19529,1
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",1,1,0,12,485,19535,1
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",1,1,0,66,485,19481,1
"REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION",1,1,0,28,485,19519,1
"REACTOME_DNA_DAMAGE_BYPASS",1,1,0,48,485,19499,1
"REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES",1,1,0,37,485,19510,1
"REACTOME_DNA_DAMAGE_REVERSAL",1,1,0,8,485,19539,1
"REACTOME_PURINE_SALVAGE",1,1,0,13,485,19534,1
"REACTOME_PURINE_CATABOLISM",1,1,0,17,485,19530,1
"REACTOME_IRS_ACTIVATION",1,1,0,5,485,19542,1
"REACTOME_SIGNAL_ATTENUATION",1,1,0,10,485,19537,1
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE",1,1,0,54,485,19493,1
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",1,1,0,78,485,19469,1
"REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX",1,1,0,13,485,19534,1
"REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA",1,1,0,28,485,19519,1
"REACTOME_MRNA_EDITING",1,1,0,10,485,19537,1
"REACTOME_TRIGLYCERIDE_BIOSYNTHESIS",1,1,0,14,485,19533,1
"REACTOME_FASL_CD95L_SIGNALING",1,1,0,5,485,19542,1
"REACTOME_TRAIL_SIGNALING",1,1,0,8,485,19539,1
"REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN",1,1,0,15,485,19532,1
"REACTOME_TNF_SIGNALING",1,1,0,44,485,19503,1
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER",1,1,0,28,485,19519,1
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER",1,1,0,28,485,19519,1
"REACTOME_SYNTHESIS_OF_KETONE_BODIES",1,1,0,8,485,19539,1
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS",1,1,0,11,485,19536,1
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS",1,1,0,6,485,19541,1
"REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA",1,1,0,5,485,19542,1
"REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA",1,1,0,6,485,19541,1
"REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA",1,1,0,5,485,19542,1
"REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA",1,1,0,5,485,19542,1
"REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA",1,1,0,5,485,19542,1
"REACTOME_INSULIN_RECEPTOR_RECYCLING",1,1,0,26,485,19521,1
"REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",1,1,0,11,485,19536,1
"REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS",1,1,0,19,485,19528,1
"REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE",1,1,0,12,485,19535,1
"REACTOME_THE_NLRP3_INFLAMMASOME",1,1,0,16,485,19531,1
"REACTOME_REGULATION_OF_IFNG_SIGNALING",1,1,0,14,485,19533,1
"REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING",1,1,0,13,485,19534,1
"REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS",1,1,0,7,485,19540,1
"REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING",1,1,0,5,485,19542,1
"REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1",1,1,0,9,485,19538,1
"REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES",1,1,0,14,485,19533,1
"REACTOME_PTK6_EXPRESSION",1,1,0,5,485,19542,1
"REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS",1,1,0,8,485,19539,1
"REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS",1,1,0,12,485,19535,1
"REACTOME_SIGNALING_BY_FGFR2_IIIA_TM",1,1,0,19,485,19528,1
"REACTOME_MET_ACTIVATES_RAS_SIGNALING",1,1,0,11,485,19536,1
"REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING",1,1,0,6,485,19541,1
"REACTOME_PROTEIN_UBIQUITINATION",1,1,0,79,485,19468,1
"REACTOME_SIGNALING_BY_MST1",1,1,0,5,485,19542,1
"REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER",1,1,0,10,485,19537,1
"REACTOME_RET_SIGNALING",1,1,0,40,485,19507,1
"REACTOME_TBC_RABGAPS",1,1,0,44,485,19503,1
"REACTOME_AURKA_ACTIVATION_BY_TPX2",1,1,0,71,485,19476,1
"REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING",1,1,0,26,485,19521,1
"REACTOME_DEREGULATED_CDK5_TRIGGERS_MULTIPLE_NEURODEGENERATIVE_PATHWAYS_IN_ALZHEIMER_S_DISEASE_MODELS",1,1,0,22,485,19525,1
"REACTOME_MET_ACTIVATES_PTPN11",1,1,0,5,485,19542,1
"REACTOME_REELIN_SIGNALLING_PATHWAY",1,1,0,5,485,19542,1
"REACTOME_VLDL_ASSEMBLY",1,1,0,5,485,19542,1
"REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION",1,1,0,12,485,19535,1
"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES",1,1,0,30,485,19517,1
"REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",1,1,0,59,485,19488,1
"REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS",1,1,0,10,485,19537,1
"REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS",1,1,0,12,485,19535,1
"REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_FACTORS",1,1,0,5,485,19542,1
"REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION",1,1,0,10,485,19537,1
"REACTOME_TFAP2A_ACTS_AS_A_TRANSCRIPTIONAL_REPRESSOR_DURING_RETINOIC_ACID_INDUCED_CELL_DIFFERENTIATION",1,1,0,5,485,19542,1
"REACTOME_CREB3_FACTORS_ACTIVATE_GENES",1,1,0,9,485,19538,1
"REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL",1,1,0,15,485,19532,1
"REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS",1,1,0,5,485,19542,1
"REACTOME_MET_ACTIVATES_RAP1_AND_RAC1",1,1,0,11,485,19536,1
"REACTOME_MET_RECEPTOR_RECYCLING",1,1,0,10,485,19537,1
"REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS",1,1,0,20,485,19527,1
"REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS",1,1,0,9,485,19538,1
"REACTOME_PROTEIN_METHYLATION",1,1,0,17,485,19530,1
"REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS",1,1,0,10,485,19537,1
"REACTOME_RUNX1_REGULATES_ESTROGEN_RECEPTOR_MEDIATED_TRANSCRIPTION",1,1,0,6,485,19541,1
"REACTOME_RECEPTOR_MEDIATED_MITOPHAGY",1,1,0,11,485,19536,1
"REACTOME_RUNX1_REGULATES_EXPRESSION_OF_COMPONENTS_OF_TIGHT_JUNCTIONS",1,1,0,5,485,19542,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES",1,1,0,8,485,19539,1
"REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN",1,1,0,37,485,19510,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING",1,1,0,6,485,19541,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS",1,1,0,7,485,19540,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_INTERLEUKIN_SIGNALING",1,1,0,5,485,19542,1
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_WNT_SIGNALING",1,1,0,6,485,19541,1
"REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY",1,1,0,73,485,19474,1
"REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION",1,1,0,24,485,19523,1
"REACTOME_RUNX2_REGULATES_CHONDROCYTE_MATURATION",1,1,0,5,485,19542,1
"REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT",1,1,0,31,485,19516,1
"REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION",1,1,0,7,485,19540,1
"REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING",1,1,0,14,485,19533,1
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY",1,1,0,55,485,19492,1
"REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION",1,1,0,9,485,19538,1
"REACTOME_REGULATION_OF_PTEN_GENE_TRANSCRIPTION",1,1,0,61,485,19486,1
"REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION",1,1,0,8,485,19539,1
"REACTOME_REGULATION_OF_PTEN_LOCALIZATION",1,1,0,9,485,19538,1
"REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",1,1,0,69,485,19478,1
"REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT",1,1,0,23,485,19524,1
"REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION",1,1,0,6,485,19541,1
"REACTOME_CRISTAE_FORMATION",1,1,0,31,485,19516,1
"REACTOME_PROCESSING_OF_SMDT1",1,1,0,16,485,19531,1
"REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION",1,1,0,5,485,19542,1
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6",1,1,0,34,485,19513,1
"REACTOME_NUCLEOBASE_BIOSYNTHESIS",1,1,0,15,485,19532,1
"REACTOME_INTESTINAL_ABSORPTION",1,1,0,5,485,19542,1
"REACTOME_TYROSINE_CATABOLISM",1,1,0,5,485,19542,1
"REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM",1,1,0,11,485,19536,1
"REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM",1,1,0,11,485,19536,1
"REACTOME_CHYLOMICRON_ASSEMBLY",1,1,0,10,485,19537,1
"REACTOME_HDL_ASSEMBLY",1,1,0,8,485,19539,1
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY",1,1,0,19,485,19528,1
"REACTOME_CHYLOMICRON_REMODELING",1,1,0,10,485,19537,1
"REACTOME_HDL_CLEARANCE",1,1,0,5,485,19542,1
"REACTOME_CHYLOMICRON_CLEARANCE",1,1,0,5,485,19542,1
"REACTOME_LDL_CLEARANCE",1,1,0,19,485,19528,1
"REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE",1,1,0,33,485,19514,1
"REACTOME_VLDL_CLEARANCE",1,1,0,6,485,19541,1
"REACTOME_PHENYLALANINE_METABOLISM",1,1,0,6,485,19541,1
"REACTOME_LIPID_PARTICLE_ORGANIZATION",1,1,0,6,485,19541,1
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42",1,1,0,20,485,19527,1
"REACTOME_METABOLISM_OF_COFACTORS",1,1,0,19,485,19528,1
"REACTOME_GLYCOGEN_METABOLISM",1,1,0,27,485,19520,1
"REACTOME_INTERLEUKIN_15_SIGNALING",1,1,0,14,485,19533,1
"REACTOME_INTERLEUKIN_35_SIGNALLING",1,1,0,12,485,19535,1
"REACTOME_INTERLEUKIN_9_SIGNALING",1,1,0,9,485,19538,1
"REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME",1,1,0,13,485,19534,1
"REACTOME_SIGNALING_BY_ERYTHROPOIETIN",1,1,0,25,485,19522,1
"REACTOME_INTERLEUKIN_37_SIGNALING",1,1,0,21,485,19526,1
"REACTOME_INTERLEUKIN_18_SIGNALING",1,1,0,8,485,19539,1
"REACTOME_RHOBTB2_GTPASE_CYCLE",1,1,0,23,485,19524,1
"REACTOME_RHOU_GTPASE_CYCLE",1,1,0,34,485,19513,1
"REACTOME_RHOBTB1_GTPASE_CYCLE",1,1,0,23,485,19524,1
"REACTOME_RHOV_GTPASE_CYCLE",1,1,0,33,485,19514,1
"REACTOME_RHOT1_GTPASE_CYCLE",1,1,0,5,485,19542,1
"REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",1,1,0,25,485,19522,1
"REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",1,1,0,11,485,19536,1
"REACTOME_TLR3_MEDIATED_TICAM1_DEPENDENT_PROGRAMMED_CELL_DEATH",1,1,0,6,485,19541,1
"REACTOME_TICAM1_DEPENDENT_ACTIVATION_OF_IRF3_IRF7",1,1,0,12,485,19535,1
"REACTOME_TICAM1_TRAF6_DEPENDENT_INDUCTION_OF_TAK1_COMPLEX",1,1,0,11,485,19536,1
"REACTOME_INTERLEUKIN_36_PATHWAY",1,1,0,7,485,19540,1
"REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3",1,1,0,8,485,19539,1
"REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS",1,1,0,19,485,19528,1
"REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS",1,1,0,6,485,19541,1
"REACTOME_BIOSYNTHESIS_OF_MARESINS",1,1,0,8,485,19539,1
"REACTOME_INTERLEUKIN_2_SIGNALING",1,1,0,12,485,19535,1
"REACTOME_INTERLEUKIN_1_SIGNALING",1,1,0,101,485,19446,1
"REACTOME_INTERLEUKIN_23_SIGNALING",1,1,0,9,485,19538,1
"REACTOME_INTERLEUKIN_27_SIGNALING",1,1,0,11,485,19536,1
"REACTOME_INTERLEUKIN_21_SIGNALING",1,1,0,10,485,19537,1
"REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX",1,1,0,7,485,19540,1
"REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY",1,1,0,31,485,19516,1
"REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS",1,1,0,8,485,19539,1
"REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS",1,1,0,5,485,19542,1
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS",1,1,0,9,485,19538,1
"REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K",1,1,0,12,485,19535,1
"REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOLIPASE_C_GAMMA_PLCG",1,1,0,7,485,19540,1
"REACTOME_ERYTHROPOIETIN_ACTIVATES_STAT5",1,1,0,7,485,19540,1
"REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS",1,1,0,14,485,19533,1
"REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS",1,1,0,6,485,19541,1
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K",1,1,0,7,485,19540,1
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",1,1,0,11,485,19536,1
"REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS",1,1,0,9,485,19538,1
"REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE",1,1,0,5,485,19542,1
"REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE",1,1,0,5,485,19542,1
"REACTOME_NTRK2_ACTIVATES_RAC1",1,1,0,5,485,19542,1
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5",1,1,0,6,485,19541,1
"REACTOME_TYSND1_CLEAVES_PEROXISOMAL_PROTEINS",1,1,0,7,485,19540,1
"REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS",1,1,0,21,485,19526,1
"REACTOME_SIGNALING_BY_NTRK3_TRKC",1,1,0,17,485,19530,1
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",1,1,0,8,485,19539,1
"REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING",1,1,0,27,485,19520,1
"REACTOME_REGULATION_OF_SIGNALING_BY_CBL",1,1,0,22,485,19525,1
"REACTOME_REGULATION_OF_IFNA_SIGNALING",1,1,0,26,485,19521,1
"REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT",1,1,0,31,485,19516,1
"REACTOME_IRON_UPTAKE_AND_TRANSPORT",1,1,0,58,485,19489,1
"REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING",1,1,0,31,485,19516,1
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",1,1,0,14,485,19533,1
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD",1,1,0,116,485,19431,1
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",1,1,0,29,485,19518,1
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION",1,1,0,24,485,19523,1
"REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10",1,1,0,12,485,19535,1
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",1,1,0,17,485,19530,1
"REACTOME_IRAK1_RECRUITS_IKK_COMPLEX",1,1,0,14,485,19533,1
"REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1",1,1,0,23,485,19524,1
"REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX",1,1,0,10,485,19537,1
"REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX",1,1,0,16,485,19531,1
